"","unique(factor(wt_all$category))"
"1","GO:0004672"
"2","GO:0006468"
"3","GO:0005524"
"4","GO:0055085"
"5","GO:0003824"
"6","GO:0006508"
"7","GO:0046983"
"8","GO:0016705"
"9","GO:0019538"
"10","GO:0005215"
"11","GO:0004553"
"12","GO:0009725"
"13","GO:0008152"
"14","GO:0005506"
"15","GO:0020037"
"16","GO:0008289"
"17","GO:0042626"
"18","GO:0004097"
"19","GO:0046148"
"20","GO:0016887"
"21","GO:0055114"
"22","GO:0005975"
"23","GO:0004190"
"24","GO:0030170"
"25","GO:0016846"
"26","GO:0004351"
"27","GO:0006536"
"28","GO:0009765"
"29","GO:0010468"
"30","GO:0022891"
"31","GO:0016831"
"32","GO:0019752"
"33","GO:0022857"
"34","GO:0031461"
"35","GO:0016630"
"36","GO:0016758"
"37","GO:0016788"
"38","GO:0009694"
"39","GO:0009864"
"40","GO:0080123"
"41","GO:0004177"
"42","GO:0016747"
"43","GO:0006812"
"44","GO:0016760"
"45","GO:0016746"
"46","GO:0004386"
"47","GO:0008146"
"48","GO:0016491"
"49","GO:0008171"
"50","GO:0006810"
"51","GO:0003968"
"52","GO:0016020"
"53","GO:0003825"
"54","GO:0004451"
"55","GO:0004252"
"56","GO:0003995"
"57","GO:0070652"
"58","GO:0008235"
"59","GO:0004018"
"60","GO:0006188"
"61","GO:0009152"
"62","GO:0000982"
"63","GO:0000987"
"64","GO:0008356"
"65","GO:0009956"
"66","GO:0048366"
"67","GO:0008654"
"68","GO:0004657"
"69","GO:0006562"
"70","GO:0006857"
"71","GO:0004108"
"72","GO:0006101"
"73","GO:0004512"
"74","GO:0006021"
"75","GO:0031668"
"76","GO:0004349"
"77","GO:0004350"
"78","GO:0043412"
"79","GO:0005319"
"80","GO:0006817"
"81","GO:0008883"
"82","GO:0016829"
"83","GO:0010333"
"84","GO:0005777"
"85","GO:0004000"
"86","GO:0016301"
"87","GO:0051225"
"88","GO:0005216"
"89","GO:0004560"
"90","GO:0000234"
"91","GO:0006656"
"92","GO:0030244"
"93","GO:0051513"
"94","GO:0008661"
"95","GO:0015299"
"96","GO:0030785"
"97","GO:0030247"
"98","GO:0009029"
"99","GO:0005774"
"100","GO:0006885"
"101","GO:0009651"
"102","GO:0015385"
"103","GO:0055075"
"104","GO:0005516"
"105","GO:0004563"
"106","GO:0004335"
"107","GO:0003777"
"108","GO:0007018"
"109","GO:0008131"
"110","GO:0009308"
"111","GO:0016620"
"112","GO:0006285"
"113","GO:0004645"
"114","GO:0008184"
"115","GO:0006629"
"116","GO:0005515"
"117","GO:0008026"
"118","GO:0016817"
"119","GO:0005488"
"120","GO:0010277"
"121","GO:0030145"
"122","GO:0046912"
"123","GO:0031625"
"124","GO:0003676"
"125","GO:0008033"
"126","GO:0006855"
"127","GO:0015238"
"128","GO:0015297"
"129","GO:0004143"
"130","GO:0007205"
"131","GO:0004421"
"132","GO:0004107"
"133","GO:0003712"
"134","GO:0019104"
"135","GO:0008757"
"136","GO:0003906"
"137","GO:0008696"
"138","GO:0046656"
"139","GO:0000155"
"140","GO:0046835"
"141","GO:0031347"
"142","GO:0050660"
"143","GO:0016049"
"144","GO:0008318"
"145","GO:0018342"
"146","GO:0009664"
"147","GO:0006950"
"148","GO:0030001"
"149","GO:0006869"
"150","GO:0005199"
"151","GO:0019825"
"152","GO:0005507"
"153","GO:0050662"
"154","GO:0008442"
"155","GO:0071949"
"156","GO:0009415"
"157","GO:0033177"
"158","GO:0005576"
"159","GO:0006006"
"160","GO:0000786"
"161","GO:0003677"
"162","GO:0006334"
"163","GO:0003735"
"164","GO:0046982"
"165","GO:0005840"
"166","GO:0000160"
"167","GO:0005852"
"168","GO:0006412"
"169","GO:0005634"
"170","GO:0050661"
"171","GO:0009538"
"172","GO:0007275"
"173","GO:0048046"
"174","GO:0006414"
"175","GO:0042254"
"176","GO:0005874"
"177","GO:0004568"
"178","GO:0006032"
"179","GO:0006457"
"180","GO:0005853"
"181","GO:0006952"
"182","GO:0042555"
"183","GO:0019310"
"184","GO:0050113"
"185","GO:0030529"
"186","GO:0045910"
"187","GO:0031167"
"188","GO:0004298"
"189","GO:0005839"
"190","GO:0051603"
"191","GO:0005200"
"192","GO:0042026"
"193","GO:0003924"
"194","GO:0043531"
"195","GO:0006164"
"196","GO:0006073"
"197","GO:0010411"
"198","GO:0016762"
"199","GO:0042546"
"200","GO:0005819"
"201","GO:0032147"
"202","GO:0060236"
"203","GO:0051082"
"204","GO:0006364"
"205","GO:0009234"
"206","GO:0004820"
"207","GO:0006426"
"208","GO:0004345"
"209","GO:0004332"
"210","GO:0015743"
"211","GO:0009058"
"212","GO:0016998"
"213","GO:0004601"
"214","GO:0008061"
"215","GO:0004402"
"216","GO:0006270"
"217","GO:0031369"
"218","GO:0005992"
"219","GO:0008017"
"220","GO:0005089"
"221","GO:0004791"
"222","GO:0019430"
"223","GO:0005618"
"224","GO:0010309"
"225","GO:0051087"
"226","GO:0032502"
"227","GO:0005622"
"228","GO:0003723"
"229","GO:0003743"
"230","GO:0006260"
"231","GO:0015935"
"232","GO:0004175"
"233","GO:0003746"
"234","GO:0000166"
"235","GO:0000387"
"236","GO:0003678"
"237","GO:0032040"
"238","GO:0004617"
"239","GO:0031047"
"240","GO:0006606"
"241","GO:0003713"
"242","GO:0010997"
"243","GO:0097027"
"244","GO:1904668"
"245","GO:0006413"
"246","GO:0000162"
"247","GO:0005730"
"248","GO:0005681"
"249","GO:0008649"
"250","GO:0006396"
"251","GO:0003697"
"252","GO:0000413"
"253","GO:0000176"
"254","GO:0005847"
"255","GO:0001026"
"256","GO:0019948"
"257","GO:0060918"
"258","GO:0003937"
"259","GO:0004643"
"260","GO:0030688"
"261","GO:0034457"
"262","GO:0003922"
"263","GO:0006177"
"264","GO:0016462"
"265","GO:0004056"
"266","GO:0042450"
"267","GO:0003848"
"268","GO:0004156"
"269","GO:0042558"
"270","GO:0003938"
"271","GO:0008764"
"272","GO:0019773"
"273","GO:0006348"
"274","GO:0004399"
"275","GO:0008097"
"276","GO:0036265"
"277","GO:0006355"
"278","GO:0003700"
"279","GO:0008878"
"280","GO:0000148"
"281","GO:0003843"
"282","GO:0006075"
"283","GO:0009742"
"284","GO:0016307"
"285","GO:0046488"
"286","GO:0008234"
"287","GO:0046872"
"288","GO:0006811"
"289","GO:0004652"
"290","GO:0043631"
"291","GO:0035556"
"292","GO:0008295"
"293","GO:0019829"
"294","GO:0004470"
"295","GO:0004471"
"296","GO:0006814"
"297","GO:0019509"
"298","GO:0016772"
"299","GO:0033014"
"300","GO:0052861"
"301","GO:0004970"
"302","GO:0005249"
"303","GO:0000165"
"304","GO:0000977"
"305","GO:0006813"
"306","GO:0045944"
"307","GO:0048476"
"308","GO:0009638"
"309","GO:0019499"
"310","GO:0050017"
"311","GO:0004134"
"312","GO:1990316"
"313","GO:0015846"
"314","GO:0019808"
"315","GO:0042597"
"316","GO:0046577"
"317","GO:0005315"
"318","GO:0008515"
"319","GO:0015770"
"320","GO:0009976"
"321","GO:0004673"
"322","GO:0010105"
"323","GO:0038199"
"324","GO:0050896"
"325","GO:0051740"
"326","GO:0006754"
"327","GO:0035091"
"328","GO:0016571"
"329","GO:0048544"
"330","GO:0004030"
"331","GO:0006081"
"332","GO:0004089"
"333","GO:0004655"
"334","GO:0006730"
"335","GO:0004096"
"336","GO:0004124"
"337","GO:0016773"
"338","GO:0008483"
"339","GO:0001678"
"340","GO:0004396"
"341","GO:0005536"
"342","GO:0004372"
"343","GO:0006563"
"344","GO:0006544"
"345","GO:0006659"
"346","GO:0006914"
"347","GO:0007165"
"348","GO:0019239"
"349","GO:0004479"
"350","GO:0071951"
"351","GO:0003856"
"352","GO:0009834"
"353","GO:0015020"
"354","GO:0004497"
"355","GO:0017038"
"356","GO:0070008"
"357","GO:0008759"
"358","GO:0080019"
"359","GO:0016602"
"360","GO:0004144"
"361","GO:0009245"
"362","GO:0006605"
"363","GO:0047429"
"364","GO:0004830"
"365","GO:0006436"
