"","unique(factor(tf2_all$category))"
"1","GO:0019538"
"2","GO:0008356"
"3","GO:0009956"
"4","GO:0048366"
"5","GO:0004096"
"6","GO:0006952"
"7","GO:0006979"
"8","GO:0046983"
"9","GO:0004512"
"10","GO:0006021"
"11","GO:0016717"
"12","GO:0008654"
"13","GO:0055114"
"14","GO:0016702"
"15","GO:0010333"
"16","GO:0045735"
"17","GO:0042626"
"18","GO:0008234"
"19","GO:0020037"
"20","GO:0006629"
"21","GO:0016829"
"22","GO:0055085"
"23","GO:0005524"
"24","GO:0004672"
"25","GO:0006468"
"26","GO:0008152"
"27","GO:0008536"
"28","GO:0016705"
"29","GO:0052861"
"30","GO:0005215"
"31","GO:0005488"
"32","GO:0003824"
"33","GO:0005515"
"34","GO:0008146"
"35","GO:0004970"
"36","GO:0006814"
"37","GO:0016020"
"38","GO:0030170"
"39","GO:0000272"
"40","GO:0016161"
"41","GO:0006418"
"42","GO:0006508"
"43","GO:0005506"
"44","GO:0004812"
"45","GO:0004553"
"46","GO:0006855"
"47","GO:0015238"
"48","GO:0015297"
"49","GO:0005975"
"50","GO:0004402"
"51","GO:0009694"
"52","GO:0009864"
"53","GO:0080123"
"54","GO:0043531"
"55","GO:0016747"
"56","GO:0008265"
"57","GO:0019948"
"58","GO:0004555"
"59","GO:0005991"
"60","GO:0016973"
"61","GO:0004451"
"62","GO:0009765"
"63","GO:0004822"
"64","GO:0006428"
"65","GO:0017038"
"66","GO:0004591"
"67","GO:0031668"
"68","GO:0004018"
"69","GO:0006188"
"70","GO:0009152"
"71","GO:0005216"
"72","GO:0004134"
"73","GO:0006812"
"74","GO:0015846"
"75","GO:0019808"
"76","GO:0042597"
"77","GO:0005345"
"78","GO:0006863"
"79","GO:0051017"
"80","GO:0000220"
"81","GO:0004820"
"82","GO:0006426"
"83","GO:0008661"
"84","GO:0008410"
"85","GO:0004823"
"86","GO:0006429"
"87","GO:0004370"
"88","GO:0006437"
"89","GO:0006817"
"90","GO:0000184"
"91","GO:0003724"
"92","GO:0008883"
"93","GO:0005247"
"94","GO:0016757"
"95","GO:0071949"
"96","GO:0019829"
"97","GO:0005471"
"98","GO:0000165"
"99","GO:0000977"
"100","GO:0006754"
"101","GO:0008641"
"102","GO:0045944"
"103","GO:0003924"
"104","GO:0036459"
"105","GO:0022857"
"106","GO:0030127"
"107","GO:0006857"
"108","GO:0005516"
"109","GO:0004411"
"110","GO:0006570"
"111","GO:0015743"
"112","GO:0000234"
"113","GO:0006656"
"114","GO:0004030"
"115","GO:0006081"
"116","GO:0047262"
"117","GO:0008495"
"118","GO:0048034"
"119","GO:0016758"
"120","GO:0048544"
"121","GO:0051015"
"122","GO:0003887"
"123","GO:0004000"
"124","GO:0004419"
"125","GO:0004252"
"126","GO:0030259"
"127","GO:0007165"
"128","GO:0004335"
"129","GO:0016851"
"130","GO:0008081"
"131","GO:0015299"
"132","GO:0016887"
"133","GO:0071446"
"134","GO:2000031"
"135","GO:0007010"
"136","GO:0006821"
"137","GO:0003712"
"138","GO:0016874"
"139","GO:0009396"
"140","GO:0022891"
"141","GO:0008483"
"142","GO:0006810"
"143","GO:0003682"
"144","GO:0016579"
"145","GO:0016773"
"146","GO:0043141"
"147","GO:0003777"
"148","GO:0007018"
"149","GO:0019752"
"150","GO:0002161"
"151","GO:0008017"
"152","GO:0005199"
"153","GO:0016301"
"154","GO:0008270"
"155","GO:0004722"
"156","GO:0006099"
"157","GO:0006811"
"158","GO:0003856"
"159","GO:0008171"
"160","GO:0006950"
"161","GO:0008168"
"162","GO:0009415"
"163","GO:0016630"
"164","GO:0010309"
"165","GO:0050661"
"166","GO:0019509"
"167","GO:0016114"
"168","GO:0004351"
"169","GO:0006536"
"170","GO:0004601"
"171","GO:0000160"
"172","GO:0033014"
"173","GO:0004332"
"174","GO:0019825"
"175","GO:0016746"
"176","GO:0004506"
"177","GO:0046872"
"178","GO:0009725"
"179","GO:0007094"
"180","GO:0050660"
"181","GO:0033925"
"182","GO:0009638"
"183","GO:0016884"
"184","GO:0008763"
"185","GO:0004657"
"186","GO:0006562"
"187","GO:0008033"
"188","GO:0000159"
"189","GO:0016760"
"190","GO:0009252"
"191","GO:0004072"
"192","GO:0046856"
"193","GO:0003676"
"194","GO:0003997"
"195","GO:0016846"
"196","GO:0003995"
"197","GO:0004650"
"198","GO:0019888"
"199","GO:0080019"
"200","GO:0030001"
"201","GO:0007275"
"202","GO:0004048"
"203","GO:0006635"
"204","GO:0008417"
"205","GO:0008519"
"206","GO:0015696"
"207","GO:0072488"
"208","GO:0005992"
"209","GO:0008271"
"210","GO:0008272"
"211","GO:0015116"
"212","GO:0008652"
"213","GO:0009916"
"214","GO:0004084"
"215","GO:0009081"
"216","GO:0000162"
"217","GO:0003860"
"218","GO:0004674"
"219","GO:0009664"
"220","GO:0005576"
"221","GO:0006073"
"222","GO:0010411"
"223","GO:0016762"
"224","GO:0042546"
"225","GO:0048046"
"226","GO:0046658"
"227","GO:0051716"
"228","GO:0009813"
"229","GO:0045430"
"230","GO:0004857"
